Repository Name,PR Title,PR URL,Age (days)
productsupcom/ds-color-detection,Bump pillow from 7.0.0 to 9.3.0 in /application,https://github.com/productsupcom/ds-color-detection/pull/60,463
productsupcom/ds-color-detection,Bump pillow from 6.2.0 to 9.3.0 in /webservice,https://github.com/productsupcom/ds-color-detection/pull/59,463
productsupcom/ds-color-detection,Bump joblib from 0.14.1 to 1.2.0 in /application,https://github.com/productsupcom/ds-color-detection/pull/58,515
productsupcom/ds-color-detection,Bump joblib from 0.10.3 to 1.2.0 in /webservice,https://github.com/productsupcom/ds-color-detection/pull/57,515
productsupcom/ds-color-detection,Bump protobuf from 3.1.0.post1 to 3.18.3 in /webservice,https://github.com/productsupcom/ds-color-detection/pull/56,522
productsupcom/ds-color-detection,Bump nbconvert from 5.1.1 to 6.5.1 in /webservice,https://github.com/productsupcom/ds-color-detection/pull/55,553
productsupcom/ds-color-detection,Bump mistune from 0.8.1 to 2.0.3 in /webservice,https://github.com/productsupcom/ds-color-detection/pull/53,578
productsupcom/ds-color-detection,Bump html5lib from 0.9999999 to 0.999999999 in /webservice,https://github.com/productsupcom/ds-color-detection/pull/52,601
productsupcom/ds-color-detection,Bump lxml from 3.7.2 to 4.9.1 in /webservice,https://github.com/productsupcom/ds-color-detection/pull/51,601
productsupcom/ds-color-detection,Bump numpy from 1.12.0 to 1.22.0 in /webservice,https://github.com/productsupcom/ds-color-detection/pull/50,616
productsupcom/ds-color-detection,Bump numpy from 1.18.1 to 1.22.0 in /application,https://github.com/productsupcom/ds-color-detection/pull/49,616
productsupcom/ds-color-detection,Bump notebook from 5.7.8 to 6.4.12 in /webservice,https://github.com/productsupcom/ds-color-detection/pull/48,621
productsupcom/ds-color-detection,Bump django from 3.0.3 to 3.1.14 in /application,https://github.com/productsupcom/ds-color-detection/pull/43,697
productsupcom/ds-color-detection,Bump nltk from 3.4.5 to 3.6.6 in /webservice,https://github.com/productsupcom/ds-color-detection/pull/42,697
productsupcom/ds-color-detection,Bump dask from 0.13.0 to 2021.10.0 in /webservice,https://github.com/productsupcom/ds-color-detection/pull/33,853
productsupcom/ds-color-detection,Bump pygments from 2.2.0 to 2.7.4 in /webservice,https://github.com/productsupcom/ds-color-detection/pull/24,1065
productsupcom/ds-color-detection,Bump pyyaml from 4.2b1 to 5.4 in /webservice,https://github.com/productsupcom/ds-color-detection/pull/23,1069
productsupcom/ds-color-detection,Bump jinja2 from 2.10.1 to 2.11.3 in /webservice,https://github.com/productsupcom/ds-color-detection/pull/22,1075
productsupcom/ds-color-detection,Bump bleach from 3.1.4 to 3.3.0 in /webservice,https://github.com/productsupcom/ds-color-detection/pull/20,1120
productsupcom/bin-category-prediction,Ushidata Test,https://github.com/productsupcom/bin-category-prediction/pull/2,2380
productsupcom/bin-youtube,Bump phpunit/phpunit from 8.5.8 to 8.5.19,https://github.com/productsupcom/bin-youtube/pull/67,940
productsupcom/bin-youtube,Bump symfony/console from 4.4.5 to 4.4.29,https://github.com/productsupcom/bin-youtube/pull/66,943
productsupcom/bin-youtube,Bump productsupcom/php-cs-fixer-config from 1.3.0 to 1.3.8,https://github.com/productsupcom/bin-youtube/pull/63,960
productsupcom/bin-youtube,Bump google/apiclient from 2.1.1 to 2.10.1,https://github.com/productsupcom/bin-youtube/pull/61,977
productsupcom/bin-youtube,[Security] Bump phpseclib/phpseclib from 2.0.25 to 2.0.32,https://github.com/productsupcom/bin-youtube/pull/58,988
productsupcom/bin-youtube,[Security] Bump nette/application from 3.0.4 to 3.1.3,https://github.com/productsupcom/bin-youtube/pull/55,1000
productsupcom/bin-youtube,Upgrade to GitHub-native Dependabot,https://github.com/productsupcom/bin-youtube/pull/50,1034
productsupcom/bin-youtube,Bump productsupcom/process-control from 1.1.4 to 1.3.4,https://github.com/productsupcom/bin-youtube/pull/42,1119
productsupcom/bin-youtube,Bump productsupcom/logger from 1.1.5 to 4.1.0,https://github.com/productsupcom/bin-youtube/pull/41,1121
productsupcom/bin-youtube,Bump productsupcom/dependency from 0.5.0 to 0.6.3,https://github.com/productsupcom/bin-youtube/pull/37,1133
productsupcom/bin-youtube,Bump league/csv from 8.1.2 to 9.5.0,https://github.com/productsupcom/bin-youtube/pull/19,1212
productsupcom/ds-csv-product-classification,Bump scipy from 0.18.1 to 1.10.0,https://github.com/productsupcom/ds-csv-product-classification/pull/1,236
productsupcom/bin-ebay-turkey,Dev 6316,https://github.com/productsupcom/bin-ebay-turkey/pull/20,714
productsupcom/bin-priceapi,Bump productsupcom/lib-predefined-binary from 3.6.0 to 3.7.1,https://github.com/productsupcom/bin-priceapi/pull/92,951
productsupcom/bin-priceapi,Upgrade to GitHub-native Dependabot,https://github.com/productsupcom/bin-priceapi/pull/81,1034
productsupcom/bin-priceapi,Bump guzzlehttp/guzzle from 6.5.5 to 7.3.0,https://github.com/productsupcom/bin-priceapi/pull/74,1071
productsupcom/bin-priceapi,Bump productsupcom/process-control from 1.1.14 to 1.3.4,https://github.com/productsupcom/bin-priceapi/pull/50,1119
productsupcom/lib-file,Upgrade to GitHub-native Dependabot,https://github.com/productsupcom/lib-file/pull/4,1035
productsupcom/microservice-notification-api,Bump guzzlehttp/psr7 from 1.4.1 to 1.9.1,https://github.com/productsupcom/microservice-notification-api/pull/2,314
productsupcom/bin-bing-content-api,WIP - DEV-1261,https://github.com/productsupcom/bin-bing-content-api/pull/1,2316
productsupcom/bin-google-adwords,Bump guzzlehttp/psr7 from 1.4.2 to 1.9.1,https://github.com/productsupcom/bin-google-adwords/pull/15,314
productsupcom/bin-google-adwords,Bump guzzlehttp/guzzle from 6.3.3 to 6.5.8,https://github.com/productsupcom/bin-google-adwords/pull/14,616
productsupcom/bin-aliexpress,Ng 28,https://github.com/productsupcom/bin-aliexpress/pull/7,1434
productsupcom/bin-aliexpress,Ng 27,https://github.com/productsupcom/bin-aliexpress/pull/6,1434
productsupcom/bin-aliexpress,Ng 26,https://github.com/productsupcom/bin-aliexpress/pull/5,1434
productsupcom/bin-aliexpress,Ng 25 Export Products Initial,https://github.com/productsupcom/bin-aliexpress/pull/4,1434
productsupcom/sales-configurator,Bump minimist and mkdirp,https://github.com/productsupcom/sales-configurator/pull/30,363
productsupcom/sales-configurator,Bump symfony/http-kernel from 5.4.4 to 5.4.20,https://github.com/productsupcom/sales-configurator/pull/29,391
productsupcom/sales-configurator,Bump qs from 6.5.2 to 6.5.3,https://github.com/productsupcom/sales-configurator/pull/28,445
